Question_id,Question_type,Marks
hdq_question_12801,multiple_choice_text,1
hdq_question_12814,multiple_choice_image,1
hdq_question_12805,multiple_choice_text,1
hdq_question_12813,multiple_choice_image,1
hdq_question_12802,multiple_choice_text,1
hdq_question_12808,multiple_choice_image,1
hdq_question_12803,multiple_choice_text,1
hdq_question_12830,multiple_choice_image,1
hdq_question_12807,multiple_choice_text,1
hdq_question_12809,multiple_choice_image,1
hdq_question_12804,multiple_choice_text,1
hdq_question_12810,multiple_choice_image,1
hdq_question_12806,multiple_choice_text,1
hdq_question_12816,multiple_choice_image,1
hdq_question_12817,multiple_choice_text,1
